name,category,rating_value,rating_count,StoryLine,keywords,Genres
回到未來 (1985),Adventure,8.5,1037122.0,"Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by a slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future.","['time travel', 'delorean', 'time machine', 'future', 'time travel comedy']","['Adventure', 'Comedy', 'Sci-Fi']"
Star Trek: Deep Space Nine ,Adventure,8.0,51295.0,"The stable wormhole discovered by the Deep Space Nine crew is known to the Bajoran people as the Celestial Temple of their Prophets. Sisko, as discoverer of the wormhole and its inhabitants, is therefore the Emissary of Bajoran prophesy. The wormhole's other end is in the Gamma Quadrant, halfway around the galaxy from Bajor. That section of space is dominated by the malevolent Dominion. The Dominion is led by the Changelings, the race of shapeshifters to which Odo belongs. As of the beginning of the sixth season, Cardassia has joined the Dominion, and together they are waging war on the Federation and their Klingon allies. The war is quickly becoming the most costly war ever for the Federation, and the Deep Space Nine crew must fight to protect their way of life.","['wormhole', 'space station', '24th century', 'honor', 'shapeshifter']","['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Batman: Death in the Family (2020),Animation,5.6,461.0,"In this very first interactive animated DC movie, you get to decide Jason Todd's fate. Will Jason Todd live or die? What will become of Batman and the Joker? Will there truly be a death in the Bat-Family? The answer will be in your hands. Choose wisely.","['based on comic', 'based on comic book', 'superhero', 'dc comics', 'death in title']","['Animation', 'Action']"
風流007 ,Animation,8.6,134845.0,"At an international spy agency, global crises are merely opportunities for its highly trained employees to confuse, undermine, betray and royally screw each other. At the center of it all is suave master spy Sterling Archer, whose less-than-masculine code name is ""Duchess."" Archer works with his domineering mother Malory, who also is his boss. He also has to deal with his ex-girlfriend, Agent Lana Kane and her new boyfriend, comptroller Cyril Figgis, as well as Malory's lovesick secretary, Cheryl.","['adult animation', 'spy', 'espionage', 'domineering mother', 'retro style secret agent']","['Animation', 'Action', 'Comedy']"
蓋酷家庭 ,Animation,8.1,300231.0,"Sick, twisted and politically incorrect, the animated series features the adventures of the Griffin family. Endearingly ignorant Peter and his stay-at-home wife Lois reside in Quahog, R.I., and have three kids. Meg, the eldest child, is a social outcast, and teenage Chris is awkward and clueless when it comes to the opposite sex. The youngest, Stewie, is a genius baby bent on killing his mother and destroying the world. The talking dog, Brian, keeps Stewie in check while sipping martinis and sorting through his own life issues.","['sexual reference', 'sexual innuendo', 'animal as human', 'pedophile', 'adult animation']","['Animation', 'Comedy']"
Bob's Burgers ,Animation,8.1,63037.0,"Bob's Burgers centers on the Belcher family (consists of Bob, Linda, Tina, Gene and Louise) who own a hamburger restaurant. Bob's burgers are really delicious and appear to be better than his rivals' but when it comes to selling burgers, his kids aren't really helpful, as more customers head over to Jimmy Pesto's restaurant.","['adult animation', '2010s', 'black comedy', 'girl wears eyeglasses', 'male actor plays a female character']","['Animation', 'Comedy']"
Star Trek: Lower Decks ,Animation,6.5,4758.0,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.","['star trek', '24th century', 'spin off', 'female protagonist']","['Animation', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
馬男波傑克 ,Animation,8.7,105635.0,"After starring in the popular sitcom ""Horsin' Around"" in the late 80s and early 90s, BoJack Horseman struggles with his deteriorating popularity, depression, addiction, and maintaining the relationships with those he cares about, but can't seem to stop hurting, all while living in the satirical, pun-filled city of Hollywood, California.","['sadness', '21st century', 'anthropomorphism', 'black comedy', 'talking animal']","['Animation', 'Comedy', 'Drama']"
星際大戰：複製人之戰 ,Animation,8.2,55323.0,"Chronicling the events that took place between 星際大戰二部曲：複製人全面進攻 (2002) and 星際大戰第三部曲：西斯大帝的復仇 (2005), this show follows the wartime days of Anakin Skywalker (Matt Lanter), Obi-wan Kenobi (James Arnold Taylor), and Yoda (Tom Kane). This show also brings new characters to the forefront of Star Wars canon, including Anakin's apprentice Ahsoka Tano (Ashley Eckstein), and Captain Rex (Dee Bradley Baker).","['jedi knight', 'inbetwequel', 'begins with narration', 'anakin skywalker character', 'obi wan kenobi character']","['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
Invincible ,Animation,,,Animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"['based on comic book', 'image comics', 'one word title', 'superhero', 'based on comic']","['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']"
我的英雄學院 ,Animation,8.5,30210.0,"In a world populated with superhumans, the superhero-loving Izuku Midoriya is without power. However, after the Quirkless dreamer Izuku inherits the powers of the world's best superhero, All Might, his hopes of becoming the top hero are now possible. Once enrolled in the high school for heroes, U.A., Izuku soon discovers being a hero is much more complicated than it appears.","['supernatural power', 'late night', 'anti hero', 'school', 'high school']","['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
Hotel Transylvania 3: Summer Vacation (2018),Animation,6.3,55412.0,"Mavis surprises Dracula with a family voyage on a luxury Monster Cruise Ship so he can take a vacation from providing everyone else's vacation at the hotel. The rest of Drac's Pack cannot resist going along. But once they leave port, romance arises when Dracula meets the mysterious ship Captain, Ericka. Now it's Mavis' turn to play the overprotective parent.","['third part', 'cruise ship', 'dracula character', ""dracula's daughter"", 'volleyball']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Demon Slayer: Kimetsu No Yaiba ,Animation,8.7,18413.0,"From the earliest times, the humanity knows about human-flesh eating monsters, lurking in the darkness to devour an unfortunate soul that does not trust rumors. However, the rumors also mention an elite corps of demon hunters, skilled assassins, killing demons. Demon Slayer focuses on Tanjirou Kamado, who is still very young, but is the only man in his family. One day, Tanjirou decides to go down to the local village to make a little money, selling charcoal. When he returns back, he becomes an unwilling part of these horrifying rumors: his family is slaughtered and the only survivor, his sister Nezuko, is turned into demon. For some reason, Nezuko still acts as a human, which is the reason for Tanjirou to join demon slayers and cure his sister. Will he manage to join the elite corps and cure his sister?","['anime', 'demons', 'historical fiction', 'japan', 'brother sister relationship']","['Animation', 'Action', 'Fantasy', 'Thriller']"
獵人 ,Animation,8.9,49690.0,"Gon Freecss is a young boy living on Whale Island. He learns from ""Hunter"" Kite, that his father, who he was told was dead, is still alive somewhere as a top ""Hunter,"" risking his life to seek unknown items, such as hidden treasures, curiosa, exotic living creatures, etc. Gon decides to become a professional Hunter and leaves the island. To become a Hunter, he must pass the Hunter Examination, where he meets and befriends three other applicants: Kurapika, Leorio and Killua. Can Gon pass this formidable hurdle, the Hunter Examination, to become ""the Best Hunter in the World"" and eventually meet his father?","['anime', 'friendship', 'villain', 'training', 'based on manga']","['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']"
神隱少女 (2001),Animation,8.6,634381.0,"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse ...","['spirit', 'spirit world', 'studio ghibli', 'child protagonist', 'sister sister relationship']","['Animation', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
One Piece: Wan pîsu ,Animation,8.7,63186.0,"There once lived a pirate named Gol D. Roger. He obtained wealth, fame, and power to earn the title of Pirate King. When he was captured and about to be executed, he revealed that his treasure called One Piece was hidden somewhere at the Grand Line. This made all people set out to search and uncover the One Piece treasure, but no one ever found the location of Gol D. Roger's treasure, and the Grand Line was too dangerous a place to overcome. Twenty-two years after Gol D. Roger's death, a boy named Monkey D. Luffy decided to become a pirate and search for Gol D. Roger's treasure to become the next Pirate King.","['pirate', 'anime', 'treasure', 'navigator', 'doctor']","['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']"
Primal ,Animation,8.7,4575.0,"From the mind of Genndy Tartakovsky, the visionary creator behind the Emmy® award-winning series Samurai Jack, comes a new tale that follows a caveman at the dawn of evolution as he forms an unlikely friendship with an almost extinct dinosaur. With suspense, heartbreak, excitement, love and fear all without a single word of dialogue, the series is a painting come to life, relying solely on music and graphic imagery to tell the story of two unlikely allies as they navigate through a treacherous world. After bonding over unfortunate tragedies, they seem to become each other's only hope of survival against a common enemy.","['caveman', 'dinosaur', 'hunt', 'dinosaur and man', 'gore']","['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']"
Naruto: Shippûden ,Animation,8.6,77322.0,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","['anime', 'battle', 'bleeding from eyes', 'blood', 'bridge']","['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
狗狗史酷比！ (2020),Animation,5.7,16400.0,"Scooby-Doo is the hero of his own story in ""SCOOB!,"" the first full-length animated Scooby-Doo adventure, which reveals how he and his best friend Shaggy became two of the world's most beloved crime busters. The story takes us back to where it all began when a young Scooby and Shaggy first meet and team up with Velma, Daphne, and Fred to launch Mystery Incorporated.","['shared universe', 'scooby doo character', 'great dane', 'cartoon dog', 'dog']","['Animation', 'Adventure', 'Comedy', 'Family', 'Mystery']"
死亡筆記本 ,Animation,9.0,222140.0,"After an intelligent yet cynical high school student begins to cleanse the world from evil with the help of a magical notebook that can kill anyone whose name is written on it, international authorities call upon a mysterious detective known as ""L"" to thwart his efforts.","['battle of wits', 'child prodigy', 'fbi', 'serial murder', 'shinigami']","['Animation', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']"
Harley Quinn ,Animation,8.5,11155.0,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.","['web series', 'dc comics', 'superhero', 'based on comic', 'based on comic book']","['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Mystery']"
The Croods: A New Age (2020),Animation,,,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.","['second part', 'caveman', 'caves', 'sidekick', 'teen romance']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
玩具總動員4 (2019),Animation,7.8,193340.0,"Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're two worlds apart when it comes to what they want from life as a toy.","['sequel', 'talking toy', 'buzz lightyear character', 'woody character', 'fourth part']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Jurassic World: Camp Cretaceous ,Animation,7.4,2430.0,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,"['band', 'dinosaurs', 'jurassic park', 'velociraptor', 'carnotaurus']","['Animation', 'Action', 'Adventure', 'Sci-Fi']"
Hotel Transylvania 2 (2015),Animation,6.7,104986.0,"The Drac pack is back for an all-new monster comedy adventure in Sony Pictures Animation's Hotel Transylvania 2! Everything seems to be changing for the better at Hotel Transylvania... Dracula's rigid monster-only hotel policy has finally relaxed, opening up its doors to human guests. But behind closed coffins, Drac is worried that his adorable half-human, half-vampire grandson, Dennis, isn't showing signs of being a vampire. So while Mavis is busy visiting her human in-laws with Johnny - and in for a major cultural shock of her own - ""Vampa"" Drac enlists his friends Frank, Murray, Wayne and Griffin to put Dennis through a ""monster-in-training"" boot camp. But little do they know that Drac's grumpy and very old, old, old school dad Vlad is about to pay a family visit to the hotel. And when Vlad finds out that his great-grandson is not a pure blood - and humans are now welcome at Hotel Transylvania - things are going to get batty!","['hotel', 'vampire', 'dracula', 'transylvania', 'smartphone']","['Animation', 'Comedy', 'Family', 'Fantasy']"
怪怪屋 (2006),Animation,6.6,98941.0,"13-year-old DJ is observing his neighbor Nebbercracker on the other side of the street in the suburb that destroys tricycles of children that trespass his lawn. When DJ's parents travel on the eve of Halloween and the abusive nanny Zee stays with him, he calls his clumsy best friend Chowder to play basketball. But when the ball falls in Nebbercracker's lawn, the old man has a heart attack, and soon they find that the house is a monster. Later the boys rescue the smart Jenny from the house and the trio unsuccessfully tries to convince the babysitter, her boyfriend Bones and two police officers that the haunted house is a monster, but nobody believes them. The teenagers ask their video-game addicted acquaintance Skull how to destroy the house, and they disclose its secret on the Halloween night.","['three friends', 'halloween', 'haunted house', 'suburbs', 'death of wife']","['Animation', 'Comedy', 'Family', 'Fantasy']"
星際大戰：反抗軍起義 ,Animation,8.0,27523.0,"An animated television series set between the events of 星際大戰第三部曲：西斯大帝的復仇 (2005) and 星際大戰 (1977), this show takes place in a time where the Empire is securing its grip on the galaxy and hunting down the last of the Jedi Knights as a fledgling rebellion against the Empire is taking shape.","['star wars', 'space opera', 'galactic empire', 'shared universe', 'spacecraft cockpit']","['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
Mank (2020),Biography,,,Follows screenwriter Herman J. Mankiewicz's tumultuous development of Orson Welles' iconic masterpiece 大國民 (1941).,"['hollywood', 'hollywood biopic', 'screenwriter', 'based on true story']","['Biography', 'Drama']"
華爾街之狼 (2013),Biography,8.2,1153833.0,"Jordan Belfort is a Long Island penny stockbroker who served 22 months in prison for defrauding investors in a massive 1990s securities scam that involved widespread corruption on Wall Street and in the corporate banking world, including shoe designer Steve Madden.","['based on true story', 'stockbroker', 'female frontal nudity', 'female rear nudity', 'topless female nudity']","['Biography', 'Crime', 'Drama']"
重磅腥聞 (2019),Biography,6.8,76056.0,"When Gretchen Carlson slaps Fox News founder Roger Ailes with a lawsuit alleging sexual harassment, not a soul could predict what would happen next. Her decision leads to Fox News correspondent Megyn Kelly coming forward with her own story, as well as multiple other women, inciting a movement that reverberates around the world.","['fox news', 'tv show', 'husband wife relationship', 'photograph', 'tv news']","['Biography', 'Drama']"
毒梟 ,Biography,8.8,344252.0,"Narcos tells the true-life story of the growth and spread of cocaine drug cartels across the globe and attendant efforts of law enforcement to meet them head on in brutal, bloody conflict. It centers around the notorious Colombian cocaine kingpin Pablo Escobar (Wagner Moura) and Steve Murphy (Holbrook), a DEA agent sent to Colombia on a U.S. mission to capture him and ultimately kill him.","['colombia', 'based on true story', 'murder', 'deception', 'jungle']","['Biography', 'Crime', 'Drama', 'Thriller']"
不完美的正義 (2019),Biography,7.6,41351.0,"A powerful and thought-provoking true-story, ""Just Mercy"" follows young lawyer Bryan Stevenson (Jordan) and his history-making battle for justice. After graduating from Harvard, Bryan might have had his pick of lucrative jobs. Instead, he heads to Alabama to defend those wrongly condemned, with the support of local advocate Eva Ansley (Larson.) One of his first, and most incendiary, cases is that of Walter McMillian (Foxx,) who, in 1987, was sentenced to die for the notorious murder of an 18-year-old girl, despite a preponderance of evidence proving his innocence and the fact that the only testimony against him came from a criminal with a motive to lie. In the years that follow, Bryan becomes embroiled in a labyrinth of legal and political maneuverings and overt and unabashed racism as he fights for Walter, and others like him, with the odds-and the system-stacked against them.","['prison', 'death row', 'death penalty', 'lawyer', 'execution']","['Biography', 'Crime', 'Drama']"
四海好傢伙 (1990),Biography,8.7,1000423.0,"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?","['gangster', 'organized crime', 'sadistic psychopath', 'mafia', 'rise and fall']","['Biography', 'Crime', 'Drama']"
愛爾蘭人 (2019),Biography,7.9,310451.0,"Frank ""The Irishman"" Sheeran is a man with a lot on his mind. The former labor union high official and hitman, learned to kill serving in Italy during the Second World War. He now looks back on his life and the hits that defined his mob career, maintaining connections with the Bufalino crime family. In particular, the part he claims to have played in the disappearance of his life-long friend, Jimmy Hoffa, the former president of the International Brotherhood of Teamsters, who mysteriously vanished in late July 1975 at the age of 62.","['nonlinear timeline', 'criminal as protagonist', 'killer as protagonist', 'murder', 'truck driver']","['Biography', 'Crime', 'Drama']"
黑色黨徒 (2018),Biography,7.5,212948.0,"In the early 1970s, Ron Stallworth is hired as the first black officer in the Colorado Springs, Colorado police department. Stallworth is initially assigned to work in the records room, where he faces racial slurs from his coworkers. Stallworth requests a transfer to go undercover, and is assigned to infiltrate a local rally at which national civil rights leader Kwame Ture (birth name Stokely Carmichael) is to give a speech. At the rally, Stallworth meets Patrice Dumas, the president of the black student union at Colorado College. While taking Ture to his hotel, Patrice is stopped by patrolman Andy Landers, a corrupt, racist officer in Stallworth's precinct, who threatens Ture and sexually assaults Patrice..","['ku klux klan', 'white supremacy', 'undercover cop', '1970s', 'black power']","['Biography', 'Crime', 'Drama']"
李察朱威爾事件 (2019),Biography,7.5,52585.0,"Based on the true story of Richard Jewell, a security guard who discovered a bomb and saving many lives at concert at Centennial Olympic Park during the 1996 Summer Olympics in Atlanta, Georgia. He was seen as a hero by many and a suspect by the FBI and press.","['media bias', 'false accusation', 'trial by media', 'victim of fake news', 'scapegoat']","['Biography', 'Crime', 'Drama']"
知音有約 (2019),Biography,7.3,53575.0,"Two-time Oscar®-winner Tom Hanks portrays Mister Rogers in A Beautiful Day in the Neighborhood, a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Emmy winner Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.","['journalist', 'television host', 'fred rogers character', 'based on real person', 'father son relationship']","['Biography', 'Drama']"
社群網戰 (2010),Biography,7.7,613829.0,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.","['facebook', 'intellectual property', 'entrepreneur', 'young entrepreneur', 'hacker']","['Biography', 'Drama']"
特斯拉 (2020),Biography,5.0,3737.0,"A freewheeling take on visionary inventor Nikola Tesla, his interactions with Thomas Edison and J.P. Morgan's daughter Anne, and his breakthroughs in transmitting electrical power and light.","['nikola tesla character', 'thomas alva edison character', 'inventor', 'based on true story']","['Biography', 'Drama']"
法律女王 (2018),Biography,7.1,24970.0,"The true story of Ruth Bader Ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.","['misogyny', ""women's rights"", 'equality', 'cancer', 'based on true story']","['Biography', 'Drama']"
居禮夫人：放射永恆 (2019),Biography,6.2,6068.0,The incredible true story of Marie Sklodowska-Curie and her Nobel Prize-winning work that changed the world.,"['scientist', 'physicist', 'science', 'physics', 'chemistry']","['Biography', 'Drama', 'Romance']"
極惡人魔 (2019),Biography,6.6,74813.0,"A single mother believes she's found the man of her dreams. But their seemingly perfect life is turned upside down when he's arrested on suspected kidnapping charges and linked to multiple murders. Adamant that he's being framed, he defends himself in America's first nationally televised trial while she struggles to come to terms with the truth.","['killer as protagonist', 'serial killer as protagonist', 'death penalty', 'claiming innocence', 'ted bundy']","['Biography', 'Crime', 'Drama', 'Thriller']"
美國犯罪故事 ,Biography,8.4,77960.0,"The People v. O.J. Simpson: American Crime Story is a limited series that takes you inside the O.J. Simpson trial with a riveting look at the legal teams battling to convict or acquit the football legend of double homicide. Based on the book The Run of His Life: The People v. O.J. Simpson by Jeffrey Toobin, it explores the chaotic behind-the-scenes dealings and maneuvering on both sides of the court, and how a combination of prosecution overconfidence, defense shrewdness, and the LAPD's history with the city's African-American community gave a jury what it needed: reasonable doubt.","['anthology', 'seasonal anthology series', 'courtroom', 'jury', 'racism']","['Biography', 'Crime', 'Drama']"
Manhunt ,Biography,8.1,47789.0,"Manhunt: Unabomber (formerly known as ""Manifesto"") will explore how the FBI caught infamous criminal masterminds, with each closed-ended season following a different case. The first season will focus on the FBI agent, a highly specialized linguist, who using unconventional means brought Ted Kaczynski, aka the ""Unabomber"", to justice after nearly a 20-year manhunt. The show, said to be heavily serialized and darkly psychological in the vein of True Detective,would provide insight into the criminal and the case but also the psychological effects the cases have on the FBI agents assigned to hunt down the most dangerous criminals who often delve into a kind of madness of their own, becoming totally absorbed in the crimes and forced to live inside the darkest minds imaginable for years.","['true crime', 'unabomber', 'fbi', 'serial killer', 'bomb']","['Biography', 'Crime', 'Drama', 'Thriller']"
Shirley (2020),Biography,6.2,5632.0,"As renowned for her morose nature as she is for her horror fiction, writer Shirley Jackson (Elizabeth Moss) is crafting yet another masterpiece when the arrival of newlyweds Fred and Rose disrupt her creative process and marriage to literary critic - and philandering professor - Stanley Hyman (Michael Stuhlbarg). As Stanley spars to maintain academic dominance over his would-be protégé Fred, Rose attempts to dampen her own ambitions and adjust to married life while living under the roof of their fiery intellectual hosts with quicksilver loyalties and myriad neuroses. When the motives of Shirley's literary muse prove elusive, Rose's curiosity and trusting nature make her tender prey for a brilliant author whose only allegiance is to her work.","['female to male footsie playing', 'female to female footsie playing', 'footsie under the table', 'mushroom', 'female nudity']","['Biography', 'Drama', 'Thriller']"
Ammonite (2020),Biography,6.7,413.0,"In 1840s England, acclaimed but overlooked fossil hunter Mary Anning (Kate Winslet) works alone on the rugged Southern coastline. With the days of her famed discoveries behind her, she now searches for common fossils to sell to tourists to support herself and her ailing mother. When a wealthy visitor entrusts Mary with the care of his wife Charlotte Murchison (Saoirse Ronan), she cannot afford to turn his offer down. Proud and relentlessly passionate about her work, Mary initially clashes with her unwelcome guest, but despite the distance between their social class and personalities, an intense bond begins to develop, compelling the two women to determine the true nature of their relationship.","['lesbian', 'based on real person', 'victorian', 'period drama', 'scientific discovery']","['Biography', 'Drama', 'Romance']"
神鬼交鋒 (2002),Biography,8.1,809434.0,"New Rochelle, the 1960s. High schooler Frank Abagnale Jr. idolizes his father, who's in trouble with the IRS. When his parents separate, Frank runs away to Manhattan with $25 in his checking account, vowing to regain dad's losses and get his parents back together. Just a few years later, the FBI tracks him down in France; he's extradited, tried, and jailed for passing more than $4,000,000 in bad checks. Along the way, he's posed as a Pan Am pilot, a pediatrician, and an attorney. And, from nearly the beginning of this life of crime, he's been pursued by a dour FBI agent, Carl Hanratty. What starts as cat and mouse becomes something akin to father and son.","['impostor', 'con', 'race against time', 'deception', 'mother son relationship']","['Biography', 'Crime', 'Drama']"
美麗境界 (2001),Biography,8.2,834029.0,"From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize.","['mathematician', 'mental illness', 'schizophrenia', 'nobel prize', 'game theory']","['Biography', 'Drama']"
